agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
3,2,5,0,100.0,16.0,0,162,33.76,55.47156843351985,5435.04,1,0,68,0,0,0,5000,8018,0.294,1,27,272.33,46.07,43.4,-0.02,11.36,0.11,1.57,1.0,1.84,3.98,-1.0,0.71,1.51,4.39,123.52,-0.23,11.5,44,3,8412927684506142269,0,0.0,64,3
3,1,4,0,100.0,17.14,0,145,35.56,-74.86536789818757,5209.5,0,0,67,0,0,0,5000,8045,0.273,1,25,276.33,45.75,60.0,-0.03,10.0,0.07,1.59,1.0,1.81,3.98,-1.0,0.69,1.0,4.42,130.24,-0.15,38.39,40,3,8412927684506142269,0,0.0,65,2
1,2,3,0,100.0,17.53,0,134,35.92,-34.939369969822636,5012.91,1,0,66,0,0,0,5000,8083,0.281,1,25,280.33,44.03,65.33,-0.03,7.89,0.13,1.59,1.0,1.76,4.03,-1.0,0.64,1.0,4.47,131.92,-0.15,38.39,38,3,8412927684506142269,0,0.0,66,2
1,0,1,0,100.0,18.0,0,131,35.81,82.0,4853.61,0,0,65,0,0,0,5000,8101,0.276,1,24,284.33,44.43,67.0,0.0,2.7,0.13,1.58,1.0,1.77,4.0,-1.0,0.63,0,4.54,131.18,-0.19,38.39,37,3,8412927684506142269,0,0.0,67,0
1,1,2,0,100.0,18.29,0,123,36.57,74.99999999999997,4605.74,0,0,64,0,0,0,5000,8130,0.28,1,22,288.33,44.63,59.0,-0.03,5.71,0.14,1.52,1.0,1.76,3.97,-1.0,0.64,0,4.6,131.59,-0.23,38.39,35,3,8412927684506142269,0,0.0,68,0
0,0,0,0,100.0,18.21,0,123,37.25,78.0,4683.74,0,0,63,0,0,0,5000,8148,0.278,1,22,292.33,45.63,0,0.0,0.0,0.14,1.58,1.0,1.76,3.97,-1.0,0.65,1.01,4.6,133.82,-0.21,38.39,35,3,8412927684506142269,0,0.0,69,2
1,0,1,0,100.0,18.92,0,120,39.05,-16.512047745647507,4761.74,0,0,62,0,0,0,5000,8150,0.276,1,22,295.96,45.94,70.0,0.0,2.94,0.12,1.7,1.0,1.76,3.97,-1.0,0.69,1.0,4.56,140.05,-0.11,38.39,34,3,8412927684506142269,0,0.0,70,3
1,0,1,0,100.0,19.33,0,114,40.85,72.0,4795.35,0,0,61,0,0,0,5000,8161,0.262,1,21,299.96,46.21,71.0,0.0,3.03,0.12,1.72,1.0,1.73,4.0,-1.0,0.69,0,4.52,145.31,-0.09,66.7,33,3,8412927684506142269,0,0.0,71,0
1,1,2,0,100.0,19.17,0,110,40.79,24.0,4600.8,1,0,60,0,0,0,5000,8174,0.28,1,20,303.96,46.03,42.5,-0.03,6.25,0.16,1.63,1.0,1.72,3.94,-1.0,0.69,0,4.47,143.77,-0.19,47.45,32,3,8412927684506142269,0,0.0,72,0
1,0,1,0,100.0,19.7,0,107,40.95,72.0,4488.3,0,0,59,0,0,0,5000,8186,0.281,1,20,307.96,46.19,73.0,0.0,3.23,0.16,1.64,1.0,1.73,3.97,-1.0,0.7,0,4.55,144.78,-0.23,50.45,31,3,8412927684506142269,0,0.0,73,0
0,0,0,0,100.0,19.64,0,107,41.72,70.00000000000001,4558.3,0,0,58,0,0,0,5000,8195,0.279,1,20,311.96,47.19,0,0.0,0.0,0.16,1.65,1.0,1.73,3.97,-1.0,0.71,0,4.55,147.04,-0.23,53.45,31,3,8412927684506142269,0,0.0,74,0
